title,slug,description,pubDate
"Navigating the database landscape: overview of SQL, MySQL, PostgreSQL, and NoSQL",sql-mysql-postgresql-nosql,"An exploration of the SQL,MySQL,PostgreSQL, and NoSQL database options and discussion on where and when to use them.","Tue, 25 Jul 2023 00:00:00 GMT"
Full-text search engine with PostgreSQL (part 2): Postgres vs Elasticsearch,postgres-full-text-search-postgres-vs-elasticsearch,Using PostgreSQL as a full-text search engine is tempting because it requires less infrastructure. But is its set of search-related features enough to compete with the Lucene based alternatives?,"Wed, 19 Jul 2023 00:00:00 GMT"
Create an advanced search engine with PostgreSQL,postgres-full-text-search-engine,PostgreSQL provides the necessary building blocks for you to combine and create your own search engine for full-text search. Let's see how far we can take it.,"Wed, 12 Jul 2023 00:00:00 GMT"
Connecting data sources to Xata with Airbyte and Zapier integrations,connecting-data-sources-xata-airbyte-zapier-integrations,Effortlessly automate data ingestion with Xata integrations,"Thu, 06 Jul 2023 00:00:00 GMT"
Postgres schema changes are still a PITA,postgres-schema-changes-pita,"Table locking, downtime risks, long running migrations, manual steps, difficult rollbacks. Is there a better way?","Thu, 29 Jun 2023 00:00:00 GMT"
Introducing the new Xata regions: Sydney & Frankfurt,new-regions_sydney-frankfurt,Discover enhanced data accessibility and global reach with Xata's newest regions.,"Tue, 27 Jun 2023 00:00:00 GMT"
"Server Actions, databases, and the future of data handling",server-actions-data-handling,Check out how Xata is improving data handling in modern apps using React advancements,"Wed, 21 Jun 2023 00:00:00 GMT"
"The next era of databases are serverless, adaptive, and collaborative",next-era-of-databases-serverless-adaptive-collaborative,"Take a look at the ideal database for tomorrow's builders: exceeding application needs, encouraging teamwork, and enhancing developer efficiency","Wed, 14 Jun 2023 00:00:00 GMT"
On the performance impact of REPLICA IDENTITY FULL in Postgres,replica-identity-full-performance,Analyzing the performance impact of REPLICA IDENTITY FULL by looking at the PostgreSQL source code and performing benchmarks.,"Wed, 07 Jun 2023 00:00:00 GMT"
Club Xata Reunion,company-offsite-milan-2023,A Remote Adventure in the Mountains. Recapping Xata's Spring 2023 offsite.,"Wed, 31 May 2023 00:00:00 GMT"
How we implemented database renaming,database-rename,"Starting today, you can now rename your Xata database","Fri, 26 May 2023 00:00:00 GMT"
XataForm is here!,xataform-is-here,"New open-source project to deal with your forms, survey and quizzes!","Thu, 04 May 2023 00:00:00 GMT"
End-to-end preview deployment workflows with Xata and Vercel,preview-deployment-vercel-xata,Preview deployments have changed the way we work. Xata's integration with Vercel brings the data layer directly into that workflow.,"Wed, 26 Apr 2023 00:00:00 GMT"
"Modern database workflows with GitHub, Vercel, Netlify, and Xata",workflow-github-vercel-netlify-xata,"Finally, a database with a complete end-to-end developer workflow.","Wed, 26 Apr 2023 00:00:00 GMT"
Accelerating time-to-market for ecommerce platform Batchoop,ecommerce-platform-batchoop,"In this community spotlight, we are excited to introduce Charles Bellorini, Xavier Dersy and their innovative tatcommerce company, Batchoop.","Thu, 20 Apr 2023 00:00:00 GMT"
Search three ways with Xata,xata-partial-fuzzy-semantic-search,"There comes a time in every project where the next feature on the roadmap is search. In this example, we’ll walk you through three different ways you can search your Xata database.","Fri, 14 Apr 2023 00:00:00 GMT"
